term_str,n,tfidf_x,dfidf,syu_sentiment,weighted_sentiment
abundant,1.5555555555555556,0.027208263221941434,20.55176456945619,0.5,0.013604131610970717
abuse,1.0,0.027522723036173098,13.411346995450689,-1.0,-0.027522723036173098
abused,1.25,0.029415472918291698,13.411346995450689,-0.75,-0.022061604688718775
abuses,2.0,0.03464302759316847,6.807354922057604,-0.5,-0.017321513796584236
abusive,1.0,0.02246651789457955,6.807354922057604,-0.5,-0.011233258947289776
abysmal,2.0,0.0863704691810344,19.229419688230415,-0.5,-0.0431852345905172
abyss,2.888888888888889,0.057822857369980225,21.94846337439936,-0.75,-0.04336714302748517
academy,1.4,0.01724374983188379,16.712306988539275,0.4,0.006897499932753516
accentuated,1.0,0.059207039193362815,11.287712379549449,0.25,0.014801759798340704
accept,1.4285714285714286,0.033964537564021194,36.95183629133995,1.0,0.033964537564021194
acceptable,1.5,0.032294717769474214,15.421929165585022,0.5,0.016147358884737107
acceptance,1.25,0.033277060368674415,11.451211111832329,0.8,0.026621648294939536
accepted,1.44,0.012327840666705678,44.08875732961123,0.8,0.009862272533364545
accepting,1.0,0.04624426598230294,11.614709844115207,0.6,0.027746559589381763
accepts,1.5,0.036632740724406636,6.7256055559161645,0.8,0.02930619257952531
accessible,1.0,0.009804291673273215,6.7256055559161645,0.75,0.007353218754954911
accident,1.4848484848484849,0.018497838094087077,44.028189459258826,-0.5,-0.009248919047043539
accidental,1.0,0.03325292655258975,13.915391310225385,-1.0,-0.03325292655258975
accidentally,1.375,0.02450472014166765,18.902422223664658,-0.6,-0.014702832085000592
accidents,1.3333333333333333,0.03767929788837524,32.001124990264664,-0.6,-0.022607578733025144
accommodation,1.5,0.025024522191037,16.582183918670093,0.4000000000000001,0.0100098088764148
accompaniment,1.0,0.022962268270450493,15.176681067160706,0.6,0.013777360962270295
accompany,2.1666666666666665,0.027468626384880176,25.010352733116246,0.4000000000000001,0.01098745055395207
accompanying,2.3333333333333335,0.008099132379890538,9.794259893718833,0.25,0.0020247830949726344
accomplish,1.875,0.024111993138494887,19.70821423509227,0.75,0.018083994853871167
accomplished,1.3888888888888888,0.02265240918056351,33.89692674879873,0.75,0.016989306885422634
accomplishes,1.0,0.031959412779613165,6.807354922057604,0.8,0.025567530223690533
accomplishment,3.4,0.025956118262945478,16.221810791690636,0.5,0.012978059131472739
accomplishments,1.25,0.02263972574836037,11.451211111832329,1.0,0.02263972574836037
accord,1.3333333333333333,0.029192028738458768,21.457967177550717,0.8,0.02335362299076702
accordingly,1.5,0.01805798944379804,37.93266844039663,0.25,0.00451449736094951
accost,1.0,0.0208501532553094,11.287712379549449,-0.8,-0.01668012260424752
accosted,1.1666666666666667,0.02203843365165242,16.255186454104333,-0.8000000000000002,-0.017630746921321935
accredited,1.0,0.034909512420808225,6.807354922057604,0.8,0.027927609936646582
accumulate,1.0,0.02831326737341463,6.7256055559161645,0.25,0.007078316843353657
accurate,1.0,0.01597928014853065,22.664283336840978,0.5,0.007989640074265326
accurately,1.2,0.0389522406933621,13.915391310225385,0.6,0.023371344416017258
accursed,1.25,0.02424308505584776,29.1508495181978,-0.5,-0.01212154252792388
accusation,1.3333333333333333,0.023240495245084605,9.794259893718833,-1.0,-0.023240495245084605
accusations,1.0,0.028967467753436612,6.807354922057604,-0.75,-0.021725600815077458
accuse,1.0,0.020890959281179955,13.084349530884928,-0.5,-0.010445479640589977
accused,2.8333333333333335,0.050232184607961416,19.14259288237361,-0.5,-0.025116092303980708
accuses,1.0,0.03225172907657633,6.643856189774724,-0.5,-0.016125864538288164
ace,1.0,0.040023230058883884,6.643856189774724,0.8,0.032018584047107106
ache,1.2,0.031675018972467564,16.712306988539275,-0.75,-0.023756264229350676
ached,2.0,0.02370678881275799,9.794259893718833,-1.0,-0.02370678881275799
aches,2.0,0.0011872509274079208,6.643856189774724,-0.5,-0.0005936254637039604
